latitude,longitude,population,median_house_value
37.44,-122.14,1114.0,500001.0
37.24,-121.92,3319.0,279400.0
38.01,-121.82,798.0,99100.0
32.8,-116.94,1964.0,137500.0
33.86,-118.19,1659.0,153600.0
37.96,-121.31,1157.0,107600.0
33.81,-117.98,2304.0,181800.0
34.05,-117.97,746.0,158000.0
33.94,-117.56,318.0,257100.0
37.44,-121.88,1107.0,311200.0
37.41,-122.14,949.0,437100.0
37.86,-122.28,788.0,164300.0
33.91,-118.0,2374.0,285200.0
38.26,-122.73,1668.0,317700.0
34.02,-118.34,684.0,181000.0
36.92,-121.77,3198.0,194800.0
37.39,-122.04,3959.0,280100.0
34.09,-118.27,1048.0,252300.0
34.26,-118.46,738.0,210300.0
37.75,-122.2,531.0,70000.0
38.36,-122.54,1167.0,202800.0
38.37,-121.98,2018.0,111500.0
37.78,-122.22,2269.0,111700.0
37.55,-122.26,1941.0,443800.0
34.07,-117.76,1173.0,109800.0
38.44,-122.59,505.0,201200.0
34.06,-117.76,1719.0,91900.0
33.73,-117.92,934.0,205800.0
33.88,-117.83,1048.0,231700.0
38.33,-121.96,3664.0,158300.0
38.35,-122.0,300.0,158500.0
38.58,-121.37,1006.0,280400.0
34.01,-118.25,596.0,90300.0
32.75,-116.98,1905.0,214000.0
37.78,-122.44,514.0,346200.0
38.58,-122.58,1549.0,183100.0
38.32,-122.3,1045.0,153200.0
38.59,-121.39,1053.0,108100.0
34.04,-118.45,1837.0,393800.0
37.21,-120.24,1313.0,93800.0
32.82,-116.91,1085.0,170100.0
37.68,-121.77,629.0,209400.0
33.78,-117.87,1196.0,186000.0
33.76,-118.13,940.0,381000.0
33.93,-118.25,899.0,85400.0
32.63,-117.05,2334.0,160100.0
36.34,-119.29,2178.0,50600.0
37.33,-121.88,1084.0,205900.0
34.02,-118.28,470.0,38800.0
34.05,-118.36,956.0,243600.0
34.08,-118.31,1539.0,350900.0
34.12,-118.01,922.0,278400.0
38.74,-121.3,2387.0,87900.0
34.18,-118.38,3847.0,165300.0
32.68,-117.1,1920.0,107600.0
33.85,-118.37,1626.0,410000.0
34.06,-118.38,1676.0,450000.0
37.94,-122.01,706.0,268000.0
38.55,-121.39,783.0,154300.0
34.21,-118.23,1217.0,273400.0
33.85,-117.93,1646.0,163900.0
36.8,-119.85,1031.0,88800.0
34.04,-118.21,2097.0,135300.0
34.22,-118.43,1080.0,184600.0
33.47,-117.63,1408.0,256000.0
33.76,-118.0,1047.0,208800.0
34.39,-119.49,2303.0,230600.0
39.03,-122.91,723.0,95800.0
37.36,-121.98,1019.0,242700.0
33.76,-117.88,2354.0,235500.0
32.8,-116.97,2204.0,111400.0
36.63,-121.93,1582.0,313900.0
34.13,-117.99,1618.0,129400.0
32.8,-117.06,973.0,222000.0
34.03,-118.16,1142.0,141600.0
34.06,-117.33,390.0,67000.0
38.11,-121.27,1178.0,120100.0
34.2,-118.24,1282.0,309900.0
37.74,-122.15,1338.0,183500.0
37.72,-122.07,1411.0,295200.0
33.79,-118.19,2339.0,130600.0
37.65,-120.98,158.0,172200.0
38.15,-122.26,2388.0,121900.0
34.08,-118.39,349.0,375000.0
39.08,-121.04,1307.0,201700.0
34.34,-117.61,1301.0,176900.0
34.94,-120.44,1101.0,147200.0
37.23,-121.91,1240.0,271800.0
37.34,-121.84,3033.0,162900.0
34.06,-118.34,707.0,432800.0
35.33,-120.8,996.0,330000.0
34.08,-118.13,1367.0,228400.0
36.22,-119.33,1955.0,108100.0
34.29,-118.71,1203.0,302000.0
33.99,-117.36,804.0,92900.0
33.99,-118.24,504.0,98600.0
33.88,-117.9,947.0,375400.0
34.11,-117.76,2874.0,180500.0
33.74,-118.17,807.0,500001.0
37.56,-122.32,1283.0,415000.0
34.01,-118.47,1019.0,470800.0
37.68,-120.98,1806.0,112800.0
34.95,-120.43,692.0,181800.0
33.63,-117.92,696.0,236400.0
38.6,-121.36,530.0,133600.0
34.03,-118.06,21.0,175000.0
36.31,-119.16,1608.0,80200.0
38.03,-121.32,1947.0,98400.0
33.81,-116.5,3086.0,94800.0
34.32,-118.42,1970.0,156000.0
34.1,-118.36,423.0,500001.0
39.0,-122.7,186.0,162500.0
36.93,-120.04,2074.0,63300.0
33.88,-118.31,686.0,237500.0
38.35,-122.32,1673.0,185200.0
38.53,-121.52,1366.0,160300.0
38.67,-121.2,773.0,115400.0
37.78,-122.47,1078.0,443300.0
38.33,-121.1,695.0,157800.0
34.1,-117.97,1285.0,160100.0
38.27,-121.26,712.0,144600.0
41.32,-122.3,1151.0,81500.0
36.61,-121.95,497.0,407800.0
36.81,-119.69,1634.0,88000.0
33.96,-118.35,1549.0,157500.0
36.78,-121.71,944.0,240200.0
34.13,-117.9,1312.0,136100.0
37.71,-122.45,1086.0,261600.0
34.19,-118.41,612.0,200000.0
37.66,-122.07,1255.0,161200.0
37.31,-121.89,1014.0,223600.0
34.04,-117.65,2039.0,151000.0
34.17,-118.41,879.0,330900.0
38.79,-121.24,1063.0,173200.0
33.75,-116.99,4002.0,77000.0
36.62,-119.73,1026.0,92800.0
37.76,-122.24,1128.0,266700.0
33.62,-117.89,465.0,93800.0
37.76,-122.47,1170.0,306700.0
32.74,-117.13,651.0,185300.0
37.93,-121.91,703.0,329400.0
32.91,-117.16,1063.0,214600.0
34.07,-118.38,1510.0,500001.0
33.05,-116.86,5030.0,164500.0
38.72,-121.3,1166.0,131900.0
33.77,-116.94,2708.0,137600.0
32.69,-116.58,2133.0,116500.0
37.56,-122.01,1531.0,158000.0
32.76,-117.1,619.0,151800.0
34.1,-118.01,1375.0,166300.0
33.47,-117.69,1480.0,300000.0
38.64,-121.42,1042.0,58500.0
37.74,-122.18,323.0,90500.0
33.8,-116.49,1274.0,148900.0
33.72,-117.9,577.0,137500.0
33.98,-118.11,410.0,147200.0
37.72,-122.4,1528.0,218300.0
34.86,-120.4,504.0,275000.0
37.72,-122.45,653.0,231900.0
32.79,-115.56,2283.0,62500.0
34.11,-118.16,632.0,263600.0
32.73,-116.98,530.0,175300.0
37.42,-121.87,6810.0,264500.0
37.95,-121.24,169.0,63800.0
39.15,-121.66,1200.0,102400.0
38.52,-121.41,2529.0,66800.0
33.26,-116.98,3129.0,254100.0
33.85,-118.16,1315.0,215600.0
34.04,-117.2,676.0,173400.0
33.86,-118.03,1014.0,289300.0
37.75,-122.5,1137.0,271800.0
38.23,-122.64,519.0,230900.0
37.25,-121.0,806.0,97600.0
39.0,-121.3,1630.0,126400.0
38.15,-121.29,1886.0,175300.0
36.48,-121.7,1052.0,288400.0
38.01,-120.24,633.0,148600.0
37.98,-122.54,607.0,371900.0
37.78,-122.48,1738.0,335300.0
34.15,-117.24,1621.0,128400.0
38.97,-121.31,726.0,82100.0
34.11,-118.05,1779.0,426500.0
34.08,-118.21,3163.0,173200.0
33.93,-118.31,997.0,150300.0
33.96,-118.01,882.0,273500.0
37.57,-122.33,1453.0,290000.0
33.19,-117.37,650.0,192500.0
34.0,-117.36,2769.0,105100.0
34.12,-118.21,1127.0,173900.0
33.9,-118.23,2334.0,96800.0
34.87,-120.42,1162.0,195700.0
39.05,-120.94,1744.0,151500.0
37.58,-122.01,2629.0,231800.0
37.73,-122.44,1485.0,270000.0
32.55,-117.06,3284.0,108800.0
33.77,-118.2,1089.0,200000.0
34.09,-117.66,593.0,166300.0
34.02,-118.13,1024.0,153500.0
38.35,-122.69,921.0,191800.0
38.01,-121.36,1192.0,87100.0
33.84,-118.39,965.0,348600.0
32.82,-117.18,722.0,162300.0
37.93,-121.26,2248.0,53000.0
37.38,-122.05,1367.0,364200.0
35.64,-117.7,1154.0,109400.0
34.4,-119.53,1079.0,248700.0
37.37,-120.5,5303.0,79700.0
37.67,-121.76,1225.0,350000.0
34.07,-118.37,884.0,486400.0
34.22,-118.37,1671.0,151500.0
33.19,-117.23,1147.0,192500.0
37.76,-122.49,729.0,323100.0
33.99,-118.36,1449.0,313700.0
33.64,-117.87,1336.0,500001.0
36.33,-119.64,1852.0,51700.0
40.09,-122.08,1185.0,94000.0
38.54,-121.51,1075.0,164800.0
34.04,-118.14,1216.0,209300.0
38.13,-122.26,1375.0,91200.0
37.66,-120.9,2426.0,82500.0
33.74,-117.8,1540.0,247200.0
34.06,-118.31,2326.0,325000.0
33.96,-118.24,1553.0,93400.0
40.43,-123.32,131.0,56700.0
33.91,-118.13,910.0,190600.0
37.27,-121.96,2983.0,269100.0
38.75,-121.3,2313.0,86300.0
37.72,-122.41,904.0,236200.0
34.19,-118.33,799.0,217000.0
37.18,-122.01,1534.0,318700.0
37.76,-122.44,784.0,370000.0
33.92,-118.37,521.0,242700.0
32.76,-117.12,936.0,147500.0
34.08,-117.74,911.0,134300.0
37.64,-118.98,1160.0,188900.0
37.09,-119.65,707.0,106300.0
34.08,-118.19,1055.0,115500.0
33.16,-117.18,3943.0,159900.0
33.88,-118.11,1761.0,239700.0
34.09,-118.32,626.0,250000.0
34.53,-117.98,1492.0,135700.0
37.34,-120.48,2821.0,127600.0
34.09,-117.62,2259.0,132000.0
33.97,-118.12,471.0,197400.0
33.21,-117.25,1035.0,117000.0
39.15,-121.62,1043.0,65300.0
37.81,-122.25,686.0,259400.0
37.8,-122.42,1014.0,500001.0
34.47,-118.48,29.0,187500.0
37.86,-120.35,118.0,162500.0
37.28,-121.91,2098.0,337300.0
37.82,-122.23,556.0,500001.0
37.66,-122.41,658.0,237500.0
34.18,-118.43,1102.0,282200.0
33.78,-118.19,898.0,162500.0
37.31,-119.64,1267.0,104400.0
33.15,-117.32,5495.0,262100.0
37.39,-122.33,232.0,500001.0
33.62,-117.93,807.0,500001.0
37.3,-121.92,635.0,345800.0
32.85,-116.75,2266.0,217400.0
37.97,-121.2,270.0,157700.0
36.91,-122.01,324.0,388500.0
33.79,-118.13,1132.0,500001.0
39.5,-121.54,779.0,39400.0
34.14,-117.21,811.0,140700.0
34.06,-117.15,1815.0,127400.0
33.2,-117.29,1428.0,157300.0
38.34,-121.98,2386.0,129500.0
34.08,-118.39,444.0,430800.0
35.29,-120.67,1036.0,219300.0
33.92,-118.09,547.0,168600.0
33.83,-117.88,1706.0,241200.0
34.05,-117.98,2176.0,156900.0
38.5,-121.49,842.0,87900.0
36.59,-121.85,525.0,186300.0
33.81,-118.2,742.0,212100.0
34.14,-117.88,924.0,186700.0
34.21,-118.38,730.0,169500.0
34.1,-117.8,2949.0,174600.0
37.88,-122.06,1879.0,340900.0
34.14,-117.99,1988.0,153000.0
33.6,-117.58,1862.0,495400.0
34.05,-118.3,1845.0,157700.0
34.07,-118.32,967.0,500001.0
33.94,-118.13,373.0,265000.0
37.6,-121.2,1301.0,86500.0
37.39,-122.09,1057.0,261300.0
37.47,-122.2,939.0,320800.0
37.88,-122.14,2865.0,394400.0
34.19,-118.3,746.0,326100.0
34.13,-118.2,1931.0,173600.0
37.68,-121.04,1140.0,81400.0
38.5,-122.79,2755.0,248300.0
34.07,-117.97,1325.0,162500.0
37.8,-122.41,1700.0,168800.0
38.61,-121.44,765.0,63300.0
37.95,-122.37,716.0,76400.0
37.69,-120.86,3012.0,143600.0
34.83,-114.59,375.0,48500.0
34.03,-118.5,2767.0,383300.0
34.03,-117.93,1694.0,163100.0
33.75,-117.98,783.0,199600.0
37.56,-122.31,701.0,292900.0
33.88,-118.37,417.0,342600.0
38.0,-122.6,1100.0,246600.0
39.59,-121.9,745.0,93800.0
35.6,-121.1,1309.0,204500.0
33.92,-118.08,1011.0,157500.0
38.65,-121.46,1787.0,92600.0
33.98,-118.27,1933.0,97000.0
34.16,-118.6,1283.0,313100.0
37.33,-121.91,973.0,330600.0
33.45,-117.6,996.0,243800.0
35.65,-117.69,520.0,87500.0
37.38,-121.86,1380.0,181100.0
38.01,-121.32,171.0,102800.0
32.83,-117.17,1591.0,212500.0
37.93,-120.25,196.0,134100.0
34.07,-118.41,1163.0,500001.0
37.66,-122.41,1255.0,250700.0
34.96,-120.45,1575.0,121400.0
32.63,-117.08,1266.0,146300.0
33.95,-118.3,1622.0,96900.0
36.3,-119.34,1177.0,74400.0
32.57,-117.05,2412.0,127600.0
34.26,-118.77,1825.0,196900.0
34.59,-117.92,485.0,125600.0
32.87,-117.21,528.0,254400.0
37.82,-121.27,830.0,127500.0
37.89,-122.28,1085.0,270900.0
35.27,-120.65,1237.0,227100.0
33.71,-118.39,475.0,500001.0
34.28,-119.18,2088.0,268200.0
38.24,-122.1,3193.0,195000.0
34.1,-117.9,1481.0,176600.0
34.04,-118.18,2118.0,129000.0
32.8,-117.15,2284.0,146300.0
33.66,-117.94,963.0,224100.0
34.87,-118.19,923.0,111100.0
33.98,-118.17,1486.0,155400.0
33.98,-118.33,3121.0,113900.0
33.95,-118.13,778.0,326600.0
33.22,-117.25,1654.0,135800.0
34.42,-119.67,1477.0,246700.0
38.45,-121.83,1154.0,107500.0
33.95,-118.25,1252.0,98100.0
34.1,-118.04,1155.0,235300.0
37.27,-121.8,2693.0,221500.0
33.81,-117.22,5145.0,113700.0
37.38,-122.21,1489.0,500001.0
38.35,-122.76,958.0,222400.0
39.61,-121.39,986.0,94700.0
34.07,-118.33,531.0,500001.0
34.04,-118.45,2031.0,277500.0
40.75,-124.21,620.0,58100.0
38.26,-120.93,834.0,114200.0
36.76,-119.78,1063.0,49800.0
34.06,-118.16,785.0,301100.0
34.03,-118.56,662.0,500001.0
37.73,-122.46,1431.0,344200.0
37.39,-120.71,1476.0,73800.0
34.06,-117.9,599.0,287200.0
37.65,-122.09,572.0,193800.0
38.54,-121.44,1308.0,75700.0
37.99,-120.38,1155.0,113400.0
37.32,-121.79,2160.0,241900.0
37.04,-119.94,766.0,88500.0
34.04,-117.93,905.0,178100.0
33.96,-118.37,100.0,175000.0
32.89,-116.94,1078.0,227800.0
34.08,-118.1,1977.0,208100.0
37.89,-122.49,541.0,500001.0
35.36,-119.07,2155.0,110700.0
34.06,-118.04,2481.0,154200.0
37.03,-122.01,2616.0,355300.0
32.63,-117.09,1935.0,67500.0
33.91,-118.11,1561.0,196900.0
34.07,-118.04,2536.0,173100.0
34.14,-117.32,1457.0,66600.0
40.18,-122.24,1307.0,60800.0
37.96,-121.27,1805.0,61300.0
33.97,-118.28,1978.0,100000.0
38.27,-122.45,1994.0,262300.0
34.09,-118.34,1733.0,204700.0
37.72,-122.44,1773.0,268500.0
33.81,-117.81,1404.0,431800.0
33.76,-117.96,2126.0,193900.0
38.16,-122.14,1497.0,176100.0
33.91,-118.25,1125.0,119300.0
38.0,-122.31,1708.0,191100.0
34.1,-117.71,2688.0,212500.0
37.72,-122.16,618.0,144800.0
37.8,-122.24,360.0,211500.0
33.97,-118.4,494.0,456300.0
37.8,-120.2,446.0,112500.0
38.0,-121.9,990.0,162200.0
37.83,-121.2,1912.0,161400.0
32.73,-117.13,1531.0,145000.0
34.03,-118.0,3912.0,226100.0
32.69,-117.11,1271.0,91800.0
39.93,-120.98,912.0,87800.0
33.78,-118.2,1545.0,175000.0
36.91,-121.76,1359.0,155000.0
37.67,-121.87,1813.0,247200.0
33.79,-118.16,3916.0,153700.0
37.11,-121.65,2915.0,321700.0
38.63,-120.84,731.0,208300.0
38.34,-121.96,1325.0,151700.0
34.43,-119.68,1267.0,251200.0
37.96,-121.25,1730.0,68300.0
37.69,-122.1,1256.0,157100.0
37.78,-122.26,528.0,201300.0
34.04,-118.48,724.0,500001.0
37.56,-122.3,945.0,274800.0
39.13,-121.05,1168.0,185100.0
33.82,-118.3,2096.0,184400.0
34.06,-118.33,693.0,500001.0
34.22,-117.15,317.0,171900.0
38.5,-122.75,1713.0,252100.0
33.9,-118.16,2399.0,156700.0
32.84,-116.9,1864.0,153800.0
37.8,-122.43,1240.0,500000.0
33.66,-117.97,1974.0,180300.0
33.89,-118.23,1782.0,95100.0
37.31,-121.89,1399.0,247400.0
37.66,-122.08,1063.0,154300.0
40.79,-124.16,975.0,92700.0
39.21,-120.11,421.0,158300.0
32.67,-117.03,2118.0,266600.0
37.77,-122.06,5781.0,341600.0
37.83,-122.24,794.0,366100.0
34.1,-118.23,1536.0,157000.0
37.67,-122.09,1408.0,153500.0
34.07,-117.95,951.0,195200.0
33.46,-117.67,1409.0,277800.0
32.75,-117.14,726.0,159400.0
33.94,-118.2,1895.0,159700.0
32.72,-117.13,1784.0,120300.0
34.01,-117.97,1410.0,165500.0
34.22,-118.37,1989.0,174100.0
37.76,-122.49,1091.0,331200.0
34.25,-118.29,1399.0,175000.0
38.38,-122.82,1227.0,259900.0
33.81,-117.96,1021.0,183900.0
35.42,-119.08,2089.0,132000.0
33.95,-118.25,1655.0,95500.0
32.77,-117.03,918.0,161200.0
36.38,-119.21,1461.0,58000.0
34.13,-118.22,501.0,178100.0
34.4,-119.29,1727.0,241400.0
38.07,-121.25,1167.0,152800.0
34.01,-118.39,543.0,340600.0
37.66,-121.9,3126.0,323000.0
37.95,-122.04,341.0,197100.0
34.43,-119.71,681.0,255000.0
32.8,-117.09,247.0,131300.0
34.15,-118.36,1338.0,366100.0
34.11,-118.08,927.0,285300.0
32.82,-117.19,1619.0,208200.0
36.79,-119.83,1054.0,65600.0
37.57,-122.34,967.0,500001.0
37.53,-122.27,586.0,267400.0
33.71,-117.89,2663.0,233300.0
33.06,-117.27,1612.0,367100.0
34.02,-118.26,1308.0,123100.0
38.59,-121.28,2081.0,92500.0
37.31,-121.86,1808.0,112500.0
37.69,-120.97,1986.0,114300.0
32.66,-117.01,4495.0,293900.0
37.99,-122.08,1914.0,199900.0
37.49,-122.25,1790.0,394700.0
37.62,-122.42,756.0,308100.0
32.61,-117.03,778.0,171300.0
37.29,-121.94,363.0,214100.0
38.3,-122.31,1641.0,187300.0
37.61,-122.08,1039.0,203900.0
33.8,-117.85,872.0,216700.0
33.13,-117.05,1118.0,169900.0
34.03,-118.17,1064.0,125500.0
34.7,-120.48,1524.0,136400.0
34.17,-118.56,1244.0,500001.0
37.34,-122.02,467.0,360600.0
36.83,-119.73,1584.0,111400.0
37.6,-122.39,986.0,387100.0
36.72,-119.82,927.0,54100.0
35.95,-121.32,479.0,200000.0
34.04,-118.48,1435.0,500001.0
38.26,-122.03,2685.0,108500.0
38.43,-120.79,546.0,129800.0
40.69,-122.38,875.0,61500.0
37.37,-121.83,800.0,182400.0
38.28,-122.26,1462.0,158300.0
36.98,-121.99,1365.0,234600.0
36.67,-121.7,458.0,252600.0
33.76,-117.9,3262.0,176800.0
38.94,-119.98,503.0,109700.0
37.95,-122.02,608.0,208300.0
37.7,-122.11,835.0,170400.0
33.98,-118.36,782.0,246300.0
37.67,-120.96,538.0,163200.0
33.76,-117.96,1012.0,189500.0
34.31,-118.45,820.0,182500.0
33.97,-118.16,1977.0,157800.0
33.85,-118.05,1212.0,313100.0
37.6,-122.09,295.0,147900.0
33.64,-117.82,808.0,500001.0
38.57,-121.46,367.0,213200.0
37.94,-122.56,653.0,500001.0
40.35,-121.03,1977.0,49500.0
35.0,-120.58,374.0,106300.0
33.74,-117.93,666.0,87500.0
34.01,-118.25,1034.0,99300.0
38.04,-121.36,1234.0,162100.0
38.42,-122.72,1156.0,152300.0
33.96,-118.25,918.0,98800.0
33.76,-118.13,1175.0,363800.0
34.16,-118.09,942.0,321100.0
34.26,-118.55,1508.0,445400.0
34.39,-117.13,855.0,104100.0
37.48,-122.19,5380.0,265300.0
37.96,-121.92,2093.0,237400.0
34.03,-118.17,2325.0,140800.0
38.51,-122.69,1442.0,313000.0
37.84,-120.2,2811.0,137900.0
34.09,-118.32,1976.0,225000.0
34.16,-118.27,637.0,252700.0
33.78,-117.93,1018.0,231300.0
34.06,-118.37,878.0,500001.0
33.82,-118.28,2813.0,217700.0
36.85,-119.77,711.0,123600.0
34.08,-117.73,3502.0,130800.0
33.93,-118.1,845.0,186100.0
33.71,-117.21,2711.0,97900.0
33.92,-118.36,2308.0,229300.0
34.15,-117.66,1284.0,360100.0
33.73,-118.29,1669.0,268500.0
32.95,-117.11,2223.0,231800.0
34.15,-118.5,1111.0,500001.0
38.66,-121.34,1837.0,92900.0
34.11,-117.26,850.0,59300.0
36.25,-119.46,1016.0,73600.0
37.44,-122.15,774.0,500001.0
33.52,-116.8,272.0,163500.0
32.83,-117.31,891.0,500001.0
39.73,-121.85,1107.0,137500.0
37.23,-121.86,1936.0,271400.0
36.8,-119.24,975.0,94400.0
33.71,-116.21,3157.0,82200.0
33.89,-117.87,769.0,171700.0
36.51,-119.56,663.0,67000.0
33.92,-118.21,1839.0,132700.0
36.97,-122.04,570.0,237500.0
38.76,-120.59,731.0,94700.0
33.75,-117.88,5477.0,187200.0
