ProductKey,ProductAlternateKey,EnglishProductName,SpanishProductName,Color,ListPrice,Size,Weight,DaysToManufacture,Status
43,HJ-3416,Thin-Jam Hex Nut 16,,NA,,,,0,Current
44,HJ-3816,Thin-Jam Hex Nut 5,,NA,,,,0,Current
45,HJ-3824,Thin-Jam Hex Nut 6,,NA,,,,0,Current
46,HJ-5161,Thin-Jam Hex Nut 3,,NA,,,,0,Current
47,HJ-5162,Thin-Jam Hex Nut 4,,NA,,,,0,Current
48,HJ-5811,Thin-Jam Hex Nut 13,,NA,,,,0,Current
49,HJ-5818,Thin-Jam Hex Nut 14,,NA,,,,0,Current
50,HJ-7161,Thin-Jam Hex Nut 7,,NA,,,,0,Current
51,HJ-7162,Thin-Jam Hex Nut 8,,NA,,,,0,Current
52,HJ-9080,Thin-Jam Hex Nut 12,,NA,,,,0,Current
53,HJ-9161,Thin-Jam Hex Nut 11,,NA,,,,0,Current
54,HN-1024,Hex Nut 5,,NA,,,,0,Current
55,HN-1032,Hex Nut 6,,NA,,,,0,Current
56,HN-1213,Hex Nut 16,,NA,,,,0,Current
57,HN-1220,Hex Nut 17,,NA,,,,0,Current
58,HN-1224,Hex Nut 7,,NA,,,,0,Current
59,HN-1420,Hex Nut 8,,NA,,,,0,Current
60,HN-1428,Hex Nut 9,,NA,,,,0,Current
61,HN-3410,Hex Nut 22,,NA,,,,0,Current
62,HN-3416,Hex Nut 23,,NA,,,,0,Current
63,HN-3816,Hex Nut 12,,NA,,,,0,Current
64,HN-3824,Hex Nut 13,,NA,,,,0,Current
65,HN-4402,Hex Nut 1,,NA,,,,0,Current
66,HN-5161,Hex Nut 10,,NA,,,,0,Current
67,HN-5162,Hex Nut 11,,NA,,,,0,Current
68,HN-5400,Hex Nut 2,,NA,,,,0,Current
69,HN-5811,Hex Nut 20,,NA,,,,0,Current
70,HN-5818,Hex Nut 21,,NA,,,,0,Current
71,HN-6320,Hex Nut 3,,NA,,,,0,Current
72,HN-7161,Hex Nut 14,,NA,,,,0,Current
73,HN-7162,Hex Nut 15,,NA,,,,0,Current
74,HN-8320,Hex Nut 4,,NA,,,,0,Current
75,HN-9161,Hex Nut 18,,NA,,,,0,Current
76,HN-9168,Hex Nut 19,,NA,,,,0,Current
77,HT-2981,Handlebar Tube,,NA,,,,1,Current
78,HT-8019,Head Tube,,NA,,,,1,Current
79,HU-6280,LL Hub,,NA,,,,1,Current
80,HU-8998,HL Hub,,NA,,,,1,Current
81,KW-4091,Keyed Washer,,NA,,,,0,Current
82,LE-1000,External Lock Washer 3,,NA,,,,0,Current
83,LE-1200,External Lock Washer 4,,NA,,,,0,Current
84,LE-1201,External Lock Washer 9,,NA,,,,0,Current
85,LE-1400,External Lock Washer 5,,NA,,,,0,Current
86,LE-3800,External Lock Washer 7,,NA,,,,0,Current
87,LE-5160,External Lock Washer 6,,NA,,,,0,Current
88,LE-6000,External Lock Washer 1,,NA,,,,0,Current
89,LE-7160,External Lock Washer 8,,NA,,,,0,Current
90,LE-8000,External Lock Washer 2,,NA,,,,0,Current
91,LI-1000,Internal Lock Washer 3,,NA,,,,0,Current
92,LI-1200,Internal Lock Washer 4,,NA,,,,0,Current
93,LI-1201,Internal Lock Washer 9,,NA,,,,0,Current
94,LI-1400,Internal Lock Washer 5,,NA,,,,0,Current
95,LI-3800,Internal Lock Washer 7,,NA,,,,0,Current
96,LI-5160,Internal Lock Washer 6,,NA,,,,0,Current
97,LI-5800,Internal Lock Washer 10,,NA,,,,0,Current
98,LI-6000,Internal Lock Washer 1,,NA,,,,0,Current
99,LI-7160,Internal Lock Washer 8,,NA,,,,0,Current
100,LI-8000,Internal Lock Washer 2,,NA,,,,0,Current
101,LJ-1213,Thin-Jam Lock Nut 9,,NA,,,,0,Current
102,LJ-1220,Thin-Jam Lock Nut 10,,NA,,,,0,Current
103,LJ-1420,Thin-Jam Lock Nut 1,,NA,,,,0,Current
104,LJ-1428,Thin-Jam Lock Nut 2,,NA,,,,0,Current
105,LJ-3410,Thin-Jam Lock Nut 15,,NA,,,,0,Current
106,LJ-3416,Thin-Jam Lock Nut 16,,NA,,,,0,Current
107,LJ-3816,Thin-Jam Lock Nut 5,,NA,,,,0,Current
108,LJ-3824,Thin-Jam Lock Nut 6,,NA,,,,0,Current
109,LJ-5161,Thin-Jam Lock Nut 3,,NA,,,,0,Current
110,LJ-5162,Thin-Jam Lock Nut 4,,NA,,,,0,Current
111,LJ-5811,Thin-Jam Lock Nut 13,,NA,,,,0,Current
112,LJ-5818,Thin-Jam Lock Nut 14,,NA,,,,0,Current
113,LJ-7161,Thin-Jam Lock Nut 7,,NA,,,,0,Current
114,LJ-7162,Thin-Jam Lock Nut 8,,NA,,,,0,Current
115,LJ-9080,Thin-Jam Lock Nut 12,,NA,,,,0,Current
116,LJ-9161,Thin-Jam Lock Nut 11,,NA,,,,0,Current
117,LN-1024,Lock Nut 5,,NA,,,,0,Current
118,LN-1032,Lock Nut 6,,NA,,,,0,Current
119,LN-1213,Lock Nut 16,,NA,,,,0,Current
120,LN-1220,Lock Nut 17,,NA,,,,0,Current
121,LN-1224,Lock Nut 7,,NA,,,,0,Current
122,LN-1420,Lock Nut 8,,NA,,,,0,Current
123,LN-1428,Lock Nut 9,,NA,,,,0,Current
124,LN-3410,Lock Nut 22,,NA,,,,0,Current
125,LN-3416,Lock Nut 23,,NA,,,,0,Current
126,LN-3816,Lock Nut 12,,NA,,,,0,Current
127,LN-3824,Lock Nut 13,,NA,,,,0,Current
128,LN-4400,Lock Nut 1,,NA,,,,0,Current
129,LN-5161,Lock Nut 10,,NA,,,,0,Current
130,LN-5162,Lock Nut 11,,NA,,,,0,Current
131,LN-5400,Lock Nut 2,,NA,,,,0,Current
132,LN-5811,Lock Nut 20,,NA,,,,0,Current
133,LN-5818,Lock Nut 21,,NA,,,,0,Current
134,LN-6320,Lock Nut 3,,NA,,,,0,Current
135,LN-7161,Lock Nut 14,,NA,,,,0,Current
136,LN-7162,Lock Nut 15,,NA,,,,0,Current
137,LN-8320,Lock Nut 4,,NA,,,,0,Current
138,LN-9080,Lock Nut 19,,NA,,,,0,Current
139,LN-9161,Lock Nut 18,,NA,,,,0,Current
140,LR-2398,Lock Ring,,Silver,,,,0,Current
141,LR-8520,Lower Head Race,,NA,,,,0,Current
142,LW-1000,Lock Washer 4,,NA,,,,0,Current
143,LW-1200,Lock Washer 5,,NA,,,,0,Current
144,LW-1201,Lock Washer 10,,NA,,,,0,Current
145,LW-1400,Lock Washer 6,,NA,,,,0,Current
146,LW-3400,Lock Washer 13,,NA,,,,0,Current
147,LW-3800,Lock Washer 8,,NA,,,,0,Current
148,LW-4000,Lock Washer 1,,NA,,,,0,Current
149,LW-5160,Lock Washer 7,,NA,,,,0,Current
150,LW-5800,Lock Washer 12,,NA,,,,0,Current
151,LW-6000,Lock Washer 2,,NA,,,,0,Current
152,LW-7160,Lock Washer 9,,NA,,,,0,Current
153,LW-8000,Lock Washer 3,,NA,,,,0,Current
154,LW-9160,Lock Washer 11,,NA,,,,0,Current
155,MA-7075,Metal Angle,,NA,,,,0,Current
156,MB-2024,Metal Bar 1,,NA,,,,0,Current
157,MB-6061,Metal Bar 2,,NA,,,,0,Current
158,MP-2066,Metal Plate 2,,NA,,,,0,Current
159,MP-2503,Metal Plate 1,,NA,,,,0,Current
160,MP-4960,Metal Plate 3,,NA,,,,0,Current
161,MS-0253,Metal Sheet 2,,NA,,,,0,Current
162,MS-1256,Metal Sheet 3,,NA,,,,0,Current
163,MS-1981,Metal Sheet 7,,NA,,,,0,Current
164,MS-2259,Metal Sheet 4,,NA,,,,0,Current
165,MS-2341,Metal Sheet 5,,NA,,,,0,Current
166,MS-2348,Metal Sheet 6,,NA,,,,0,Current
167,MS-6061,Metal Sheet 1,,NA,,,,0,Current
168,MT-1000,Metal Tread Plate,,NA,,,,0,Current
169,NI-4127,LL Nipple,,NA,,,,0,Current
170,NI-9522,HL Nipple,,NA,,,,0,Current
171,PA-187B,Paint - Black,,NA,,,,0,Current
172,PA-361R,Paint - Red,,NA,,,,0,Current
173,PA-529S,Paint - Silver,,NA,,,,0,Current
174,PA-632U,Paint - Blue,,NA,,,,0,Current
175,PA-823Y,Paint - Yellow,,NA,,,,0,Current
176,PB-6109,Pinch Bolt,,NA,,,,0,Current
177,RA-2345,Cup-Shaped Race,,NA,,,,0,Current
178,RA-7490,Cone-Shaped Race,,NA,,,,0,Current
179,RF-9198,Reflector,,NA,,,,0,Current
180,RM-M464,LL Mountain Rim,,NA,,,435.0,0,Current
181,RM-M692,ML Mountain Rim,,NA,,,450.0,0,Current
182,RM-M823,HL Mountain Rim,,NA,,,400.0,0,Current
183,RM-R436,LL Road Rim,,NA,,,445.0,0,Current
184,RM-R600,ML Road Rim,,NA,,,450.0,0,Current
185,RM-R800,HL Road Rim,,NA,,,400.0,0,Current
186,RM-T801,Touring Rim,,NA,,,460.0,0,Current
187,SA-M198,LL Mountain Seat Assembly,,NA,,,,1,Current
188,SA-M237,ML Mountain Seat Assembly,,NA,,,,1,Current
189,SA-M687,HL Mountain Seat Assembly,,NA,,,,1,Current
190,SA-R127,LL Road Seat Assembly,,NA,,,,1,Current
191,SA-R430,ML Road Seat Assembly,,NA,,,,1,Current
192,SA-R522,HL Road Seat Assembly,,NA,,,,1,Current
193,SA-T467,LL Touring Seat Assembly,,NA,,,,1,Current
194,SA-T612,ML Touring Seat Assembly,,NA,,,,1,Current
195,SA-T872,HL Touring Seat Assembly,,NA,,,,1,Current
196,SD-2342,LL Spindle/Axle,,NA,,,,0,Current
197,SD-9872,HL Spindle/Axle,,NA,,,,0,Current
198,SH-4562,LL Shell,,NA,,,,0,Current
199,SH-9312,HL Shell,,NA,,,,0,Current
200,SK-9283,Spokes,,NA,,,,0,Current
201,SL-0931,Seat Lug,,NA,,,,0,Current
202,SM-9087,Stem,,NA,,,,1,Current
203,SP-2981,Seat Post,,NA,,,,0,Current
204,SR-2098,Steerer,,NA,,,,1,Current
205,SS-2985,Seat Stays,,NA,,,,1,Current
206,ST-9828,Seat Tube,,NA,,,,1,Current
207,TO-2301,Top Tube,,NA,,,,1,Current
208,TP-0923,Tension Pulley,,NA,,,,0,Current
209,RC-0291,Rear Derailleur Cage,,Silver,,,,0,Current
210,FR-R92B-58,"HL Road Frame - Black, 58",,Black,,58,2.24,1,Current
211,FR-R92R-58,"HL Road Frame - Red, 58",,Red,,58,2.24,1,Current
212,HL-U509-R,"Sport-100 Helmet, Red","Casco deportivo: 100, rojo",Red,33.6442,,,0,
213,HL-U509-R,"Sport-100 Helmet, Red","Casco deportivo: 100, rojo",Red,33.6442,,,0,
214,HL-U509-R,"Sport-100 Helmet, Red","Casco deportivo: 100, rojo",Red,34.99,,,0,Current
215,HL-U509,"Sport-100 Helmet, Black","Casco deportivo: 100, negro",Black,33.6442,,,0,
216,HL-U509,"Sport-100 Helmet, Black","Casco deportivo: 100, negro",Black,33.6442,,,0,
217,HL-U509,"Sport-100 Helmet, Black","Casco deportivo: 100, negro",Black,34.99,,,0,Current
218,SO-B909-M,"Mountain Bike Socks, M","Calcetines para bicicleta de montaña, M",White,9.5,M,,0,
219,SO-B909-L,"Mountain Bike Socks, L","Calcetines para bicicleta de montaña, G",White,9.5,L,,0,
220,HL-U509-B,"Sport-100 Helmet, Blue","Casco deportivo: 100, azul",Blue,33.6442,,,0,
221,HL-U509-B,"Sport-100 Helmet, Blue","Casco deportivo: 100, azul",Blue,33.6442,,,0,
222,HL-U509-B,"Sport-100 Helmet, Blue","Casco deportivo: 100, azul",Blue,34.99,,,0,Current
223,CA-1098,AWC Logo Cap,,Multi,8.6442,,,0,
224,CA-1098,AWC Logo Cap,,Multi,8.6442,,,0,
225,CA-1098,AWC Logo Cap,,Multi,8.99,,,0,Current
226,LJ-0192-S,"Long-Sleeve Logo Jersey, S","Jersey con logotipo de manga larga, P",Multi,48.0673,S,,0,
227,LJ-0192-S,"Long-Sleeve Logo Jersey, S","Jersey con logotipo de manga larga, P",Multi,48.0673,S,,0,
228,LJ-0192-S,"Long-Sleeve Logo Jersey, S","Jersey con logotipo de manga larga, P",Multi,49.99,S,,0,Current
229,LJ-0192-M,"Long-Sleeve Logo Jersey, M","Jersey con logotipo de manga larga, M",Multi,48.0673,M,,0,
230,LJ-0192-M,"Long-Sleeve Logo Jersey, M","Jersey con logotipo de manga larga, M",Multi,48.0673,M,,0,
231,LJ-0192-M,"Long-Sleeve Logo Jersey, M","Jersey con logotipo de manga larga, M",Multi,49.99,M,,0,Current
232,LJ-0192-L,"Long-Sleeve Logo Jersey, L","Jersey con logotipo de manga larga, G",Multi,48.0673,L,,0,
233,LJ-0192-L,"Long-Sleeve Logo Jersey, L","Jersey con logotipo de manga larga, G",Multi,48.0673,L,,0,
234,LJ-0192-L,"Long-Sleeve Logo Jersey, L","Jersey con logotipo de manga larga, G",Multi,49.99,L,,0,Current
235,LJ-0192-X,"Long-Sleeve Logo Jersey, XL","Jersey con logotipo de manga larga, SG",Multi,48.0673,XL,,0,
236,LJ-0192-X,"Long-Sleeve Logo Jersey, XL","Jersey con logotipo de manga larga, SG",Multi,48.0673,XL,,0,
237,LJ-0192-X,"Long-Sleeve Logo Jersey, XL","Jersey con logotipo de manga larga, SG",Multi,49.99,XL,,0,Current
238,FR-R92R-62,"HL Road Frame - Red, 62","Cuadro de carretera GA: rojo, 62",Red,1263.4598,62,2.3,1,
239,FR-R92R-62,"HL Road Frame - Red, 62","Cuadro de carretera GA: rojo, 62",Red,1301.3636,62,2.3,1,
240,FR-R92R-62,"HL Road Frame - Red, 62","Cuadro de carretera GA: rojo, 62",Red,1431.5,62,2.3,1,Current
241,FR-R92R-44,"HL Road Frame - Red, 44","Cuadro de carretera GA: rojo, 44",Red,1263.4598,44,2.12,1,
242,FR-R92R-44,"HL Road Frame - Red, 44","Cuadro de carretera GA: rojo, 44",Red,1301.3636,44,2.12,1,
243,FR-R92R-44,"HL Road Frame - Red, 44","Cuadro de carretera GA: rojo, 44",Red,1431.5,44,2.12,1,Current
244,FR-R92R-48,"HL Road Frame - Red, 48","Cuadro de carretera GA: rojo, 48",Red,1263.4598,48,2.16,1,
245,FR-R92R-48,"HL Road Frame - Red, 48","Cuadro de carretera GA: rojo, 48",Red,1301.3636,48,2.16,1,
246,FR-R92R-48,"HL Road Frame - Red, 48","Cuadro de carretera GA: rojo, 48",Red,1431.5,48,2.16,1,Current
247,FR-R92R-52,"HL Road Frame - Red, 52","Cuadro de carretera GA: rojo, 52",Red,1263.4598,52,2.2,1,
248,FR-R92R-52,"HL Road Frame - Red, 52","Cuadro de carretera GA: rojo, 52",Red,1301.3636,52,2.2,1,
249,FR-R92R-52,"HL Road Frame - Red, 52","Cuadro de carretera GA: rojo, 52",Red,1431.5,52,2.2,1,Current
250,FR-R92R-56,"HL Road Frame - Red, 56","Cuadro de carretera GA: rojo, 56",Red,1263.4598,56,2.24,1,
251,FR-R92R-56,"HL Road Frame - Red, 56","Cuadro de carretera GA: rojo, 56",Red,1301.3636,56,2.24,1,
252,FR-R92R-56,"HL Road Frame - Red, 56","Cuadro de carretera GA: rojo, 56",Red,1431.5,56,2.24,1,Current
253,FR-R38B-58,"LL Road Frame - Black, 58","Cuadro de carretera GB: negro, 58",Black,297.6346,58,2.46,1,
254,FR-R38B-58,"LL Road Frame - Black, 58","Cuadro de carretera GB: negro, 58",Black,306.5636,58,2.46,1,
255,FR-R38B-58,"LL Road Frame - Black, 58","Cuadro de carretera GB: negro, 58",Black,337.22,58,2.46,1,Current
256,FR-R38B-60,"LL Road Frame - Black, 60","Cuadro de carretera GB: negro, 60",Black,297.6346,60,2.48,1,
257,FR-R38B-60,"LL Road Frame - Black, 60","Cuadro de carretera GB: negro, 60",Black,306.5636,60,2.48,1,
258,FR-R38B-60,"LL Road Frame - Black, 60","Cuadro de carretera GB: negro, 60",Black,337.22,60,2.48,1,Current
259,FR-R38B-62,"LL Road Frame - Black, 62","Cuadro de carretera GB: negro, 62",Black,297.6346,62,2.5,1,
260,FR-R38B-62,"LL Road Frame - Black, 62","Cuadro de carretera GB: negro, 62",Black,306.5636,62,2.5,1,
261,FR-R38B-62,"LL Road Frame - Black, 62","Cuadro de carretera GB: negro, 62",Black,337.22,62,2.5,1,Current
262,FR-R38R-44,"LL Road Frame - Red, 44","Cuadro de carretera GB: rojo, 44",Red,306.5636,44,2.32,1,
263,FR-R38R-44,"LL Road Frame - Red, 44","Cuadro de carretera GB: rojo, 44",Red,337.22,44,2.32,1,
264,FR-R38R-48,"LL Road Frame - Red, 48","Cuadro de carretera GB: rojo, 48",Red,306.5636,48,2.36,1,
265,FR-R38R-48,"LL Road Frame - Red, 48","Cuadro de carretera GB: rojo, 48",Red,337.22,48,2.36,1,
266,FR-R38R-52,"LL Road Frame - Red, 52","Cuadro de carretera GB: rojo, 52",Red,306.5636,52,2.4,1,
267,FR-R38R-52,"LL Road Frame - Red, 52","Cuadro de carretera GB: rojo, 52",Red,337.22,52,2.4,1,
268,FR-R38R-58,"LL Road Frame - Red, 58","Cuadro de carretera GB: rojo, 58",Red,306.5636,58,2.46,1,
269,FR-R38R-58,"LL Road Frame - Red, 58","Cuadro de carretera GB: rojo, 58",Red,337.22,58,2.46,1,
270,FR-R38R-60,"LL Road Frame - Red, 60","Cuadro de carretera GB: rojo, 60",Red,306.5636,60,2.48,1,
271,FR-R38R-60,"LL Road Frame - Red, 60","Cuadro de carretera GB: rojo, 60",Red,337.22,60,2.48,1,
272,FR-R38R-62,"LL Road Frame - Red, 62","Cuadro de carretera GB: rojo, 62",Red,306.5636,62,2.5,1,
273,FR-R38R-62,"LL Road Frame - Red, 62","Cuadro de carretera GB: rojo, 62",Red,337.22,62,2.5,1,
274,FR-R72R-44,"ML Road Frame - Red, 44","Cuadro de carretera GM: rojo, 44",Red,594.83,44,2.22,1,
275,FR-R72R-48,"ML Road Frame - Red, 48","Cuadro de carretera GM: rojo, 48",Red,594.83,48,2.26,1,
276,FR-R72R-52,"ML Road Frame - Red, 52","Cuadro de carretera GM: rojo, 52",Red,594.83,52,2.3,1,
277,FR-R72R-58,"ML Road Frame - Red, 58","Cuadro de carretera GM: rojo, 58",Red,594.83,58,2.36,1,
278,FR-R72R-60,"ML Road Frame - Red, 60","Cuadro de carretera GM: rojo, 60",Red,594.83,60,2.38,1,
279,FR-R38B-44,"LL Road Frame - Black, 44","Cuadro de carretera GB: negro, 44",Black,297.6346,44,2.32,1,
280,FR-R38B-44,"LL Road Frame - Black, 44","Cuadro de carretera GB: negro, 44",Black,306.5636,44,2.32,1,
281,FR-R38B-44,"LL Road Frame - Black, 44","Cuadro de carretera GB: negro, 44",Black,337.22,44,2.32,1,Current
282,FR-R38B-48,"LL Road Frame - Black, 48","Cuadro de carretera GB: negro, 48",Black,297.6346,48,2.36,1,
283,FR-R38B-48,"LL Road Frame - Black, 48","Cuadro de carretera GB: negro, 48",Black,306.5636,48,2.36,1,
284,FR-R38B-48,"LL Road Frame - Black, 48","Cuadro de carretera GB: negro, 48",Black,337.22,48,2.36,1,Current
285,FR-R38B-52,"LL Road Frame - Black, 52","Cuadro de carretera GB: negro, 52",Black,297.6346,52,2.4,1,
286,FR-R38B-52,"LL Road Frame - Black, 52","Cuadro de carretera GB: negro, 52",Black,306.5636,52,2.4,1,
287,FR-R38B-52,"LL Road Frame - Black, 52","Cuadro de carretera GB: negro, 52",Black,337.22,52,2.4,1,Current
288,FR-M94S-42,"HL Mountain Frame - Silver, 42",,Silver,1204.3248,42,2.72,1,
289,FR-M94S-42,"HL Mountain Frame - Silver, 42",,Silver,1240.4545,42,2.72,1,
290,FR-M94S-42,"HL Mountain Frame - Silver, 42",,Silver,1364.5,42,2.72,1,Current
291,FR-M94S-44,"HL Mountain Frame - Silver, 44",,Silver,1364.5,44,2.76,1,
292,FR-M94S-52,"HL Mountain Frame - Silver, 48",,Silver,1364.5,48,2.8,1,
293,FR-M94S-46,"HL Mountain Frame - Silver, 46",,Silver,1204.3248,46,2.84,1,
294,FR-M94S-46,"HL Mountain Frame - Silver, 46",,Silver,1240.4545,46,2.84,1,
295,FR-M94S-46,"HL Mountain Frame - Silver, 46",,Silver,1364.5,46,2.84,1,Current
296,FR-M94B-42,"HL Mountain Frame - Black, 42",,Black,1191.1739,42,2.72,1,
297,FR-M94B-42,"HL Mountain Frame - Black, 42",,Black,1226.9091,42,2.72,1,
298,FR-M94B-42,"HL Mountain Frame - Black, 42",,Black,1349.6,42,2.72,1,Current
299,FR-M94B-44,"HL Mountain Frame - Black, 44",,Black,1349.6,44,2.76,1,
300,FR-M94B-48,"HL Mountain Frame - Black, 48",,Black,1349.6,48,2.8,1,
301,FR-M94B-46,"HL Mountain Frame - Black, 46",,Black,1191.1739,46,2.84,1,
302,FR-M94B-46,"HL Mountain Frame - Black, 46",,Black,1226.9091,46,2.84,1,
303,FR-M94B-46,"HL Mountain Frame - Black, 46",,Black,1349.6,46,2.84,1,Current
304,FR-M94B-38,"HL Mountain Frame - Black, 38",,Black,1191.1739,38,2.68,2,
305,FR-M94B-38,"HL Mountain Frame - Black, 38",,Black,1226.9091,38,2.68,2,
306,FR-M94B-38,"HL Mountain Frame - Black, 38",,Black,1349.6,38,2.68,2,Current
307,FR-M94S-38,"HL Mountain Frame - Silver, 38",,Silver,1204.3248,38,2.68,2,
308,FR-M94S-38,"HL Mountain Frame - Silver, 38",,Silver,1240.4545,38,2.68,2,
309,FR-M94S-38,"HL Mountain Frame - Silver, 38",,Silver,1364.5,38,2.68,2,Current
310,BK-R93R-62,"Road-150 Red, 62","Carretera: 150, roja, 62",Red,3578.27,62,15.0,4,
311,BK-R93R-44,"Road-150 Red, 44","Carretera: 150, roja, 44",Red,3578.27,44,13.77,4,
312,BK-R93R-48,"Road-150 Red, 48","Carretera: 150, roja, 48",Red,3578.27,48,14.13,4,
313,BK-R93R-52,"Road-150 Red, 52","Carretera: 150, roja, 52",Red,3578.27,52,14.42,4,
314,BK-R93R-56,"Road-150 Red, 56","Carretera: 150, roja, 56",Red,3578.27,56,14.68,4,
315,BK-R68R-58,"Road-450 Red, 58","Carretera: 450, roja, 58",Red,1457.99,58,17.79,4,
316,BK-R68R-60,"Road-450 Red, 60","Carretera: 450, roja, 60",Red,1457.99,60,17.9,4,
317,BK-R68R-44,"Road-450 Red, 44","Carretera: 450, roja, 44",Red,1457.99,44,16.77,4,
318,BK-R68R-48,"Road-450 Red, 48","Carretera: 450, roja, 48",Red,1457.99,48,17.13,4,
319,BK-R68R-52,"Road-450 Red, 52","Carretera: 450, roja, 52",Red,1457.99,52,17.42,4,
320,BK-R50R-58,"Road-650 Red, 58","Carretera: 650, roja, 58",Red,699.0982,58,19.79,4,
321,BK-R50R-58,"Road-650 Red, 58","Carretera: 650, roja, 58",Red,782.99,58,19.79,4,
322,BK-R50R-60,"Road-650 Red, 60","Carretera: 650, roja, 60",Red,699.0982,60,19.9,4,
323,BK-R50R-60,"Road-650 Red, 60","Carretera: 650, roja, 60",Red,782.99,60,19.9,4,
324,BK-R50R-62,"Road-650 Red, 62","Carretera: 650, roja, 62",Red,699.0982,62,20.0,4,
325,BK-R50R-62,"Road-650 Red, 62","Carretera: 650, roja, 62",Red,782.99,62,20.0,4,
326,BK-R50R-44,"Road-650 Red, 44","Carretera: 650, roja, 44",Red,699.0982,44,18.77,4,
327,BK-R50R-44,"Road-650 Red, 44","Carretera: 650, roja, 44",Red,782.99,44,18.77,4,
328,BK-R50R-48,"Road-650 Red, 48","Carretera: 650, roja, 48",Red,699.0982,48,19.13,4,
329,BK-R50R-48,"Road-650 Red, 48","Carretera: 650, roja, 48",Red,782.99,48,19.13,4,
330,BK-R50R-52,"Road-650 Red, 52","Carretera: 650, roja, 52",Red,699.0982,52,19.42,4,
331,BK-R50R-52,"Road-650 Red, 52","Carretera: 650, roja, 52",Red,782.99,52,19.42,4,
332,BK-R50B-58,"Road-650 Black, 58","Carretera: 650, negra, 58",Black,699.0982,58,19.79,4,
333,BK-R50B-58,"Road-650 Black, 58","Carretera: 650, negra, 58",Black,782.99,58,19.79,4,
334,BK-R50B-60,"Road-650 Black, 60","Carretera: 650, negra, 60",Black,699.0982,60,19.9,4,
335,BK-R50B-60,"Road-650 Black, 60","Carretera: 650, negra, 60",Black,782.99,60,19.9,4,
336,BK-R50B-62,"Road-650 Black, 62","Carretera: 650, negra, 62",Black,699.0982,62,20.0,4,
337,BK-R50B-62,"Road-650 Black, 62","Carretera: 650, negra, 62",Black,782.99,62,20.0,4,
338,BK-R50B-44,"Road-650 Black, 44","Carretera: 650, negra, 44",Black,699.0982,44,18.77,4,
339,BK-R50B-44,"Road-650 Black, 44","Carretera: 650, negra, 44",Black,782.99,44,18.77,4,
340,BK-R50B-48,"Road-650 Black, 48","Carretera: 650, negra, 48",Black,699.0982,48,19.13,4,
341,BK-R50B-48,"Road-650 Black, 48","Carretera: 650, negra, 48",Black,782.99,48,19.13,4,
342,BK-R50B-52,"Road-650 Black, 52","Carretera: 650, negra, 52",Black,699.0982,52,19.42,4,
343,BK-R50B-52,"Road-650 Black, 52","Carretera: 650, negra, 52",Black,782.99,52,19.42,4,
